,item_num,gp_freq,ng_freq,gp_comb_freq
0,1,8.26897660764084,8.32952015509871,8.299248381369775
1,2,9.212601963853102,9.061169628662014,9.136885796257559
2,3,8.56220036146434,8.644591561129356,8.603395961296847
3,4,7.749294871729637,7.731069102885157,7.7401819873073965
4,5,7.838072901967586,7.557005107469054,7.697539004718321
5,6,7.926671973121635,7.75094338644258,7.838807679782107
6,7,7.782222639164773,7.793280454633021,7.787751546898897
7,8,7.907236528312212,7.699360339199889,7.8032984337560505
8,9,7.999696524340158,8.089225297363885,8.044460910852022
9,10,8.42247932402983,8.296470526896101,8.359474925462965
10,11,8.142726809683234,8.09248312978757,8.117604969735403
11,12,8.786166012147024,8.522415397702954,8.654290704924989
12,13,8.041279476838334,7.836636638043299,7.938958057440816
13,14,8.419715641282751,8.363917977693411,8.39181680948808
14,15,8.23984982643867,8.321390165822542,8.280619996130607
15,16,8.309016998257865,8.153123466713499,8.231070232485681
16,17,8.606777111764007,8.51451498893876,8.560646050351384
17,18,7.5996201655419275,7.5887060474262436,7.5941631064840855
18,19,8.447153670543562,8.601737886653309,8.524445778598436
19,20,7.842418093243006,7.710426080685631,7.776422086964319
20,21,8.083469616280809,8.027197419114358,8.055333517697584
21,22,7.339216381435065,7.133194007329855,7.23620519438246
22,23,8.012576595338444,7.816438013486293,7.914507304412369
23,24,8.2155049605866,7.868949083912976,8.042227022249788
24,25,7.942334067632306,7.91453177134092,7.928432919486613
25,26,8.872947400384913,8.621233065174092,8.747090232779502
26,27,8.660587427266533,8.458754955157195,8.559671191211864
27,28,8.151902730437405,7.97252344806124,8.062213089249322
28,29,7.91625893786987,7.852904559909188,7.884581748889529
29,30,7.625182214850525,7.391156391477135,7.50816930316383
30,31,8.609152414442965,8.369003613026104,8.489078013734535
31,32,8.858545569876444,8.522085208217726,8.690315389047086
32,33,8.108333028298828,7.97978439907618,8.044058713687503
33,34,8.43652734185857,8.181751751273287,8.309139546565929
34,35,8.318418727685629,8.22239258369473,8.27040565569018
35,36,7.809509466744934,7.872041888663603,7.8407756777042685
36,37,8.545935034836898,8.555979121565755,8.550957078201327
37,38,8.708260703275293,8.619893141644507,8.6640769224599
38,39,7.782528114723114,7.7444947829417785,7.763511448832446
39,40,8.556168821408546,8.321701155807165,8.438934988607855
40,41,8.019295554549597,7.8676493736208055,7.943472464085201
41,42,8.967816883787831,8.762470666651318,8.865143775219575
