,failedgrams
0,Anya nibbled
1,Ava lit
2,Beth consumed
3,Bree lit
4,Brielle purchased
5,Bryce owned
6,Carson clogged
7,Daisy encountered
8,Derek relied
9,Doug chucked
10,Fern acquired
11,Gail sprayed
12,Grace plowed
13,Hanna inhaled
14,Ian consumed
15,Jade inherited
16,Joel ingested
17,June stuffed
18,Kit overwhelmed
19,Leah consumed
20,Mila tossed
21,Paige crammed
22,Sam sunbathed
23,Sue plugged
24,Timmy breathed
25,Tori flew
26,beside sneezing
27,bonfires close
28,boyfriend unlock
29,breathed unsafe
30,cancerous freckle
31,chalky cosmetics
32,clumsy boyfriend
33,coughing travelers
34,cracked laptop
35,cramped concert
36,decaying cellar
37,developing dreadful
38,faulty charger
39,fragile jewelry
40,girlfriend bust
41,grimy faucet
42,harsh herbicides
43,inhaled lots
44,inherited flawed
45,kitchenware during
46,lingering covid
47,longlasting covid
48,nauseous girlfriend
49,of covid
50,queasy boyfriend
51,ruined draft
52,smashed device
53,smoky cigars
54,sneezing passengers
55,sparklers indoors
56,sprayed strong
57,stormy beachfront
58,strong girlfriend
59,sunbathed daily
60,treatable asthma
61,undercooked brownies
62,vegan whose
63,wore chalky
