,item_num,mv_freq,nmv_freq,mv_comb_freq
0,1,8.383666645852768,8.38366664585277,8.38366664585277
1,2,8.010305362531666,8.01030536253167,8.010305362531668
2,3,8.403917663629002,8.403917663629002,8.403917663629002
3,4,8.26480044421341,8.26480044421341,8.26480044421341
4,5,8.758741734372979,8.758741734372979,8.758741734372979
5,6,8.413703104736449,8.413703104736449,8.413703104736449
6,7,8.291771624349595,8.291771624349593,8.291771624349593
7,8,8.652395768201147,8.652395768201147,8.652395768201147
8,9,8.297805226336976,8.390938007397631,8.344371616867303
9,10,8.649389555017224,8.809515116430813,8.72945233572402
10,11,7.822337675365656,8.020329815476025,7.92133374542084
11,12,7.711237943457414,7.711237943457414,7.711237943457414
12,13,8.089369644936951,8.17609671486764,8.132733179902296
13,14,7.671707736476205,7.671707736476205,7.671707736476205
14,15,7.035260315209356,7.316369867246048,7.175815091227702
15,16,9.219399472844348,9.219399472844348,9.219399472844348
16,17,7.43164294240445,7.43164294240445,7.43164294240445
17,18,9.042340237511244,9.042340237511244,9.042340237511244
18,19,9.324939241474707,9.324939241474706,9.324939241474706
19,20,8.699047475789175,8.699047475789175,8.699047475789175
20,21,8.245826825614476,8.245826825614476,8.245826825614476
21,22,7.815931543931501,7.815931543931501,7.815931543931501
22,23,8.038925856144099,8.173132866896056,8.106029361520077
23,24,7.334377805699718,7.334377805699718,7.334377805699718
24,25,7.8705166142710485,7.8705166142710485,7.8705166142710485
25,26,8.196380545663814,8.339277668963296,8.267829107313556
26,27,8.258642692533439,8.177521048061001,8.218081870297219
27,28,8.03494251827299,8.03494251827299,8.03494251827299
28,29,8.294930768314877,8.393077900655452,8.344004334485165
29,30,7.604300554616766,7.696159109868972,7.65022983224287
30,31,6.856010419107476,6.856010419107476,6.856010419107476
31,32,8.349083649150133,8.349083649150131,8.349083649150131
32,33,9.202745849205575,9.202745849205575,9.202745849205575
33,34,8.440848682624967,8.568353102387663,8.504600892506314
34,35,7.661590847597612,7.661590847597613,7.661590847597612
35,36,9.082430658774117,9.082430658774117,9.082430658774117
36,37,9.091729424159082,9.091729424159082,9.091729424159082
37,38,8.399458439394555,8.399458439394555,8.399458439394555
38,39,7.900479705082764,7.900479705082766,7.900479705082765
39,42,7.894827026662215,7.887875613898498,7.891351320280356
40,44,8.539837290773109,8.539837290773109,8.539837290773109
41,45,7.860653429520067,7.804512954504499,7.832583192012283
